state,year,metric,value
Johor,2023,Tenaga Buruh 223.7 230.3 240.5 252.2 265.2 Labour Force Bekerja 213.0 220.0 230.0 243.4 255.8 Employed Penganggur 10.8 10.2 10.5 8.8 9.3 Unemployed Luar Tenaga Buruh 9.2 11.2 9.3 10.6 11.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 96.0 95.4 96.3 96.0 95.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.8 4.4 4.4 3.5 3.5 Graduates Unemployment Rate,
Johor,2024,Tenaga Buruh 223.7 230.3 240.5 252.2 265.2 Labour Force Bekerja 213.0 220.0 230.0 243.4 255.8 Employed Penganggur 10.8 10.2 10.5 8.8 9.3 Unemployed Luar Tenaga Buruh 9.2 11.2 9.3 10.6 11.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 96.0 95.4 96.3 96.0 95.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.8 4.4 4.4 3.5 3.5 Graduates Unemployment Rate,
Johor,2020,Perempuan Female,217600.0
Johor,2021,Perempuan Female,231900.0
Johor,2022,Perempuan Female,248800.0
Johor,2023,Perempuan Female,259000.0
Johor,2024,Perempuan Female,278200.0
Johor,2020,Tenaga Buruh 180.3 196.9 206.8 217.5 231.8 Labour Force Bekerja 173.0 189.7 199.9 211.0 224.9 Employed Penganggur 7.3 7.1 6.9 6.4 6.9 Unemployed Luar Tenaga Buruh 37.3 35.0 42.0 41.5 46.5 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.8 84.9 83.1 84.0 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.0 3.6 3.3 3.0 3.0 Graduates Unemployment Rate,
Johor,2021,Tenaga Buruh 180.3 196.9 206.8 217.5 231.8 Labour Force Bekerja 173.0 189.7 199.9 211.0 224.9 Employed Penganggur 7.3 7.1 6.9 6.4 6.9 Unemployed Luar Tenaga Buruh 37.3 35.0 42.0 41.5 46.5 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.8 84.9 83.1 84.0 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.0 3.6 3.3 3.0 3.0 Graduates Unemployment Rate,
Johor,2022,Tenaga Buruh 180.3 196.9 206.8 217.5 231.8 Labour Force Bekerja 173.0 189.7 199.9 211.0 224.9 Employed Penganggur 7.3 7.1 6.9 6.4 6.9 Unemployed Luar Tenaga Buruh 37.3 35.0 42.0 41.5 46.5 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.8 84.9 83.1 84.0 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.0 3.6 3.3 3.0 3.0 Graduates Unemployment Rate,
Johor,2023,Tenaga Buruh 180.3 196.9 206.8 217.5 231.8 Labour Force Bekerja 173.0 189.7 199.9 211.0 224.9 Employed Penganggur 7.3 7.1 6.9 6.4 6.9 Unemployed Luar Tenaga Buruh 37.3 35.0 42.0 41.5 46.5 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.8 84.9 83.1 84.0 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.0 3.6 3.3 3.0 3.0 Graduates Unemployment Rate,
Johor,2024,Tenaga Buruh 180.3 196.9 206.8 217.5 231.8 Labour Force Bekerja 173.0 189.7 199.9 211.0 224.9 Employed Penganggur 7.3 7.1 6.9 6.4 6.9 Unemployed Luar Tenaga Buruh 37.3 35.0 42.0 41.5 46.5 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.8 84.9 83.1 84.0 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.0 3.6 3.3 3.0 3.0 Graduates Unemployment Rate,
Johor,2020,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Johor,2021,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Johor,2022,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Johor,2023,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Johor,2024,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kedah,2020,Jumlah Total,255000.0
Kedah,2021,Jumlah Total,276500.0
Kedah,2022,Jumlah Total,285100.0
Kedah,2023,Jumlah Total,299400.0
Kedah,2024,Jumlah Total,303700.0
Kedah,2020,Tenaga Buruh 210.3 225.6 236.4 246.9 253.0 Labour Force Bekerja 201.6 216.9 227.5 238.5 245.1 Employed Penganggur 8.7 8.7 8.9 8.4 7.9 Unemployed Luar Tenaga Buruh 44.7 50.9 48.7 52.6 50.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.5 81.6 82.9 82.4 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.2 3.9 3.8 3.4 3.1 Graduates Unemployment Rate,
Kedah,2021,Tenaga Buruh 210.3 225.6 236.4 246.9 253.0 Labour Force Bekerja 201.6 216.9 227.5 238.5 245.1 Employed Penganggur 8.7 8.7 8.9 8.4 7.9 Unemployed Luar Tenaga Buruh 44.7 50.9 48.7 52.6 50.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.5 81.6 82.9 82.4 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.2 3.9 3.8 3.4 3.1 Graduates Unemployment Rate,
Kedah,2022,Tenaga Buruh 210.3 225.6 236.4 246.9 253.0 Labour Force Bekerja 201.6 216.9 227.5 238.5 245.1 Employed Penganggur 8.7 8.7 8.9 8.4 7.9 Unemployed Luar Tenaga Buruh 44.7 50.9 48.7 52.6 50.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.5 81.6 82.9 82.4 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.2 3.9 3.8 3.4 3.1 Graduates Unemployment Rate,
Kedah,2023,Tenaga Buruh 210.3 225.6 236.4 246.9 253.0 Labour Force Bekerja 201.6 216.9 227.5 238.5 245.1 Employed Penganggur 8.7 8.7 8.9 8.4 7.9 Unemployed Luar Tenaga Buruh 44.7 50.9 48.7 52.6 50.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.5 81.6 82.9 82.4 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.2 3.9 3.8 3.4 3.1 Graduates Unemployment Rate,
Kedah,2024,Tenaga Buruh 210.3 225.6 236.4 246.9 253.0 Labour Force Bekerja 201.6 216.9 227.5 238.5 245.1 Employed Penganggur 8.7 8.7 8.9 8.4 7.9 Unemployed Luar Tenaga Buruh 44.7 50.9 48.7 52.6 50.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 82.5 81.6 82.9 82.4 83.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.2 3.9 3.8 3.4 3.1 Graduates Unemployment Rate,
Kedah,2020,Lelaki Male,110200.0
Kedah,2021,Lelaki Male,116800.0
Kedah,2022,Lelaki Male,121700.0
Kedah,2023,Lelaki Male,125600.0
Kedah,2024,Lelaki Male,126000.0
Kedah,2020,Tenaga Buruh 98.1 102.4 107.5 112.3 111.4 Labour Force Bekerja 95.5 100.0 105.3 109.7 109.3 Employed Penganggur 2.6 2.4 2.3 2.5 2.1 Unemployed Luar Tenaga Buruh 12.0 14.4 14.1 13.4 14.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.1 87.7 88.4 89.3 88.4 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 2.7 2.4 2.1 2.3 1.9 Graduates Unemployment Rate,
Kedah,2021,Tenaga Buruh 98.1 102.4 107.5 112.3 111.4 Labour Force Bekerja 95.5 100.0 105.3 109.7 109.3 Employed Penganggur 2.6 2.4 2.3 2.5 2.1 Unemployed Luar Tenaga Buruh 12.0 14.4 14.1 13.4 14.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.1 87.7 88.4 89.3 88.4 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 2.7 2.4 2.1 2.3 1.9 Graduates Unemployment Rate,
Kedah,2022,Tenaga Buruh 98.1 102.4 107.5 112.3 111.4 Labour Force Bekerja 95.5 100.0 105.3 109.7 109.3 Employed Penganggur 2.6 2.4 2.3 2.5 2.1 Unemployed Luar Tenaga Buruh 12.0 14.4 14.1 13.4 14.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.1 87.7 88.4 89.3 88.4 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 2.7 2.4 2.1 2.3 1.9 Graduates Unemployment Rate,
Kedah,2023,Tenaga Buruh 98.1 102.4 107.5 112.3 111.4 Labour Force Bekerja 95.5 100.0 105.3 109.7 109.3 Employed Penganggur 2.6 2.4 2.3 2.5 2.1 Unemployed Luar Tenaga Buruh 12.0 14.4 14.1 13.4 14.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.1 87.7 88.4 89.3 88.4 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 2.7 2.4 2.1 2.3 1.9 Graduates Unemployment Rate,
Kedah,2024,Tenaga Buruh 98.1 102.4 107.5 112.3 111.4 Labour Force Bekerja 95.5 100.0 105.3 109.7 109.3 Employed Penganggur 2.6 2.4 2.3 2.5 2.1 Unemployed Luar Tenaga Buruh 12.0 14.4 14.1 13.4 14.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.1 87.7 88.4 89.3 88.4 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 2.7 2.4 2.1 2.3 1.9 Graduates Unemployment Rate,
Kedah,2020,Perempuan Female,144800.0
Kedah,2021,Perempuan Female,159700.0
Kedah,2022,Perempuan Female,163400.0
Kedah,2023,Perempuan Female,173800.0
Kedah,2024,Perempuan Female,177700.0
Kedah,2020,Tenaga Buruh 112.1 123.2 128.8 134.6 141.6 Labour Force Bekerja 106.0 116.9 122.2 128.8 135.8 Employed Penganggur 6.1 6.3 6.6 5.8 5.9 Unemployed Luar Tenaga Buruh 32.7 36.5 34.6 39.2 36.0 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 77.4 77.2 78.8 77.4 79.7 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.5 5.1 5.1 4.3 4.1 Graduates Unemployment Rate,
Kedah,2021,Tenaga Buruh 112.1 123.2 128.8 134.6 141.6 Labour Force Bekerja 106.0 116.9 122.2 128.8 135.8 Employed Penganggur 6.1 6.3 6.6 5.8 5.9 Unemployed Luar Tenaga Buruh 32.7 36.5 34.6 39.2 36.0 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 77.4 77.2 78.8 77.4 79.7 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.5 5.1 5.1 4.3 4.1 Graduates Unemployment Rate,
Kedah,2022,Tenaga Buruh 112.1 123.2 128.8 134.6 141.6 Labour Force Bekerja 106.0 116.9 122.2 128.8 135.8 Employed Penganggur 6.1 6.3 6.6 5.8 5.9 Unemployed Luar Tenaga Buruh 32.7 36.5 34.6 39.2 36.0 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 77.4 77.2 78.8 77.4 79.7 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.5 5.1 5.1 4.3 4.1 Graduates Unemployment Rate,
Kedah,2023,Tenaga Buruh 112.1 123.2 128.8 134.6 141.6 Labour Force Bekerja 106.0 116.9 122.2 128.8 135.8 Employed Penganggur 6.1 6.3 6.6 5.8 5.9 Unemployed Luar Tenaga Buruh 32.7 36.5 34.6 39.2 36.0 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 77.4 77.2 78.8 77.4 79.7 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.5 5.1 5.1 4.3 4.1 Graduates Unemployment Rate,
Kedah,2024,Tenaga Buruh 112.1 123.2 128.8 134.6 141.6 Labour Force Bekerja 106.0 116.9 122.2 128.8 135.8 Employed Penganggur 6.1 6.3 6.6 5.8 5.9 Unemployed Luar Tenaga Buruh 32.7 36.5 34.6 39.2 36.0 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 77.4 77.2 78.8 77.4 79.7 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.5 5.1 5.1 4.3 4.1 Graduates Unemployment Rate,
Kedah,2020,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kedah,2021,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kedah,2022,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kedah,2023,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kedah,2024,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kelantan,2020,Jumlah Total,181700.0
Kelantan,2021,Jumlah Total,196000.0
Kelantan,2022,Jumlah Total,206000.0
Kelantan,2023,Jumlah Total,220300.0
Kelantan,2024,Jumlah Total,225600.0
Kelantan,2020,Tenaga Buruh 144.4 152.6 162.7 168.1 181.2 Labour Force Bekerja 135.6 144.1 154.2 160.2 173.4 Employed Penganggur 8.8 8.5 8.5 7.9 7.9 Unemployed Luar Tenaga Buruh 37.4 43.4 43.3 52.2 44.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 79.4 77.9 79.0 76.3 80.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 6.1 5.6 5.2 4.7 4.3 Graduates Unemployment Rate,
Kelantan,2021,Tenaga Buruh 144.4 152.6 162.7 168.1 181.2 Labour Force Bekerja 135.6 144.1 154.2 160.2 173.4 Employed Penganggur 8.8 8.5 8.5 7.9 7.9 Unemployed Luar Tenaga Buruh 37.4 43.4 43.3 52.2 44.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 79.4 77.9 79.0 76.3 80.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 6.1 5.6 5.2 4.7 4.3 Graduates Unemployment Rate,
Kelantan,2022,Tenaga Buruh 144.4 152.6 162.7 168.1 181.2 Labour Force Bekerja 135.6 144.1 154.2 160.2 173.4 Employed Penganggur 8.8 8.5 8.5 7.9 7.9 Unemployed Luar Tenaga Buruh 37.4 43.4 43.3 52.2 44.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 79.4 77.9 79.0 76.3 80.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 6.1 5.6 5.2 4.7 4.3 Graduates Unemployment Rate,
Kelantan,2023,Tenaga Buruh 144.4 152.6 162.7 168.1 181.2 Labour Force Bekerja 135.6 144.1 154.2 160.2 173.4 Employed Penganggur 8.8 8.5 8.5 7.9 7.9 Unemployed Luar Tenaga Buruh 37.4 43.4 43.3 52.2 44.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 79.4 77.9 79.0 76.3 80.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 6.1 5.6 5.2 4.7 4.3 Graduates Unemployment Rate,
Kelantan,2024,Tenaga Buruh 144.4 152.6 162.7 168.1 181.2 Labour Force Bekerja 135.6 144.1 154.2 160.2 173.4 Employed Penganggur 8.8 8.5 8.5 7.9 7.9 Unemployed Luar Tenaga Buruh 37.4 43.4 43.3 52.2 44.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 79.4 77.9 79.0 76.3 80.3 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 6.1 5.6 5.2 4.7 4.3 Graduates Unemployment Rate,
Kelantan,2020,Lelaki Male,75000.0
Kelantan,2021,Lelaki Male,79700.0
Kelantan,2022,Lelaki Male,84600.0
Kelantan,2023,Lelaki Male,85700.0
Kelantan,2024,Lelaki Male,87600.0
Kelantan,2020,Tenaga Buruh 64.6 67.2 71.7 72.1 75.3 Labour Force Bekerja 61.4 64.1 68.9 69.4 72.6 Employed Penganggur 3.2 3.0 2.8 2.7 2.6 Unemployed Luar Tenaga Buruh 10.4 12.6 12.9 13.7 12.3 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 86.1 84.3 84.8 84.1 85.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.0 4.5 3.9 3.7 3.5 Graduates Unemployment Rate,
Kelantan,2021,Tenaga Buruh 64.6 67.2 71.7 72.1 75.3 Labour Force Bekerja 61.4 64.1 68.9 69.4 72.6 Employed Penganggur 3.2 3.0 2.8 2.7 2.6 Unemployed Luar Tenaga Buruh 10.4 12.6 12.9 13.7 12.3 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 86.1 84.3 84.8 84.1 85.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.0 4.5 3.9 3.7 3.5 Graduates Unemployment Rate,
Kelantan,2022,Tenaga Buruh 64.6 67.2 71.7 72.1 75.3 Labour Force Bekerja 61.4 64.1 68.9 69.4 72.6 Employed Penganggur 3.2 3.0 2.8 2.7 2.6 Unemployed Luar Tenaga Buruh 10.4 12.6 12.9 13.7 12.3 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 86.1 84.3 84.8 84.1 85.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.0 4.5 3.9 3.7 3.5 Graduates Unemployment Rate,
Kelantan,2023,Tenaga Buruh 64.6 67.2 71.7 72.1 75.3 Labour Force Bekerja 61.4 64.1 68.9 69.4 72.6 Employed Penganggur 3.2 3.0 2.8 2.7 2.6 Unemployed Luar Tenaga Buruh 10.4 12.6 12.9 13.7 12.3 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 86.1 84.3 84.8 84.1 85.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.0 4.5 3.9 3.7 3.5 Graduates Unemployment Rate,
Kelantan,2024,Tenaga Buruh 64.6 67.2 71.7 72.1 75.3 Labour Force Bekerja 61.4 64.1 68.9 69.4 72.6 Employed Penganggur 3.2 3.0 2.8 2.7 2.6 Unemployed Luar Tenaga Buruh 10.4 12.6 12.9 13.7 12.3 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 86.1 84.3 84.8 84.1 85.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 5.0 4.5 3.9 3.7 3.5 Graduates Unemployment Rate,
Kelantan,2020,Perempuan Female,106800.0
Kelantan,2021,Perempuan Female,116300.0
Kelantan,2022,Perempuan Female,121400.0
Kelantan,2023,Perempuan Female,134500.0
Kelantan,2024,Perempuan Female,138100.0
Kelantan,2020,Tenaga Buruh 79.8 85.5 91.0 96.0 106.0 Labour Force Bekerja 74.2 80.0 85.3 90.8 100.7 Employed Penganggur 5.6 5.5 5.7 5.2 5.2 Unemployed Luar Tenaga Buruh 27.0 30.8 30.4 38.5 32.1 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 74.7 73.5 75.0 71.4 76.8 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 7.0 6.4 6.3 5.4 5.0 Graduates Unemployment Rate,
Kelantan,2021,Tenaga Buruh 79.8 85.5 91.0 96.0 106.0 Labour Force Bekerja 74.2 80.0 85.3 90.8 100.7 Employed Penganggur 5.6 5.5 5.7 5.2 5.2 Unemployed Luar Tenaga Buruh 27.0 30.8 30.4 38.5 32.1 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 74.7 73.5 75.0 71.4 76.8 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 7.0 6.4 6.3 5.4 5.0 Graduates Unemployment Rate,
Kelantan,2022,Tenaga Buruh 79.8 85.5 91.0 96.0 106.0 Labour Force Bekerja 74.2 80.0 85.3 90.8 100.7 Employed Penganggur 5.6 5.5 5.7 5.2 5.2 Unemployed Luar Tenaga Buruh 27.0 30.8 30.4 38.5 32.1 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 74.7 73.5 75.0 71.4 76.8 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 7.0 6.4 6.3 5.4 5.0 Graduates Unemployment Rate,
Kelantan,2023,Tenaga Buruh 79.8 85.5 91.0 96.0 106.0 Labour Force Bekerja 74.2 80.0 85.3 90.8 100.7 Employed Penganggur 5.6 5.5 5.7 5.2 5.2 Unemployed Luar Tenaga Buruh 27.0 30.8 30.4 38.5 32.1 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 74.7 73.5 75.0 71.4 76.8 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 7.0 6.4 6.3 5.4 5.0 Graduates Unemployment Rate,
Kelantan,2024,Tenaga Buruh 79.8 85.5 91.0 96.0 106.0 Labour Force Bekerja 74.2 80.0 85.3 90.8 100.7 Employed Penganggur 5.6 5.5 5.7 5.2 5.2 Unemployed Luar Tenaga Buruh 27.0 30.8 30.4 38.5 32.1 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 74.7 73.5 75.0 71.4 76.8 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 7.0 6.4 6.3 5.4 5.0 Graduates Unemployment Rate,
Kelantan,2020,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kelantan,2021,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kelantan,2022,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kelantan,2023,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Kelantan,2024,* Penggunaan data secara berhati-hati kerana faktor ralat piawai relatif yang tinggi Data to be used with caution due to high relative standard error,
Melaka,2020,Jumlah Total,169600.0
Melaka,2021,Jumlah Total,179400.0
Melaka,2022,Jumlah Total,188100.0
Melaka,2023,Jumlah Total,194600.0
Melaka,2024,Jumlah Total,205100.0
Melaka,2020,Tenaga Buruh 141.2 150.7 156.7 165.9 174.5 Labour Force Bekerja 138.2 147.7 153.6 163.1 172.1 Employed Penganggur 3.1 3.0 3.1 2.8 2.5 Unemployed Luar Tenaga Buruh 28.4 28.7 31.4 28.7 30.6 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 83.3 84.0 83.3 85.2 85.1 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 2.2 2.0 2.0 1.7 1.4 Graduates Unemployment Rate,
